3D Aim Trainer.exe	3D Aim Trainer
Beat Saber.exe	Beat Saber
csgo.exe	Counter-Strike: Global Offensive
Cyberpunk2077.exe	Cyberpunk 2077
DOOMEternalx64vk.exe	DOOM Eternal
fceux.exe	FCEUX
ffxiv_dx11.exe	FINAL FANTASY XIV ONLINE
FINAL FANTASY VI.exe	FINAL FANTASY VI (Pixel Remaster)
ForzaHorizon5.exe	Forza Horizon 5
FPSAimTrainer-Win64-Shipping.exe	KovaaK 2.0
gta-vc.exe	GTA Vice City
gta3.exe	GTA III
GTA5.exe	GTA V
gta_sa.exe,gta-sa.exe	GTA San Andreas
hlvr.exe	Half-Life: Alyx
MassEffectLauncher.exe	Mass Effect Legendary Edition
osu!.exe	osu!
P4G.exe	Persona 4 Golden
pong_waves_vr.exe	Eleven: Table Tennis VR
q2rtx.exe	Quake II RTX
RDR2.exe	Red Dead Redemption 2
Scarface.exe	Scarface The World Is Yours
Sims2EP9RPC.exe	The Sims 2
TS4_x64.exe	The Sims 4
Wow.exe	World of Warcraft
